unit	entry	level	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-bridge3/cpp/bridge3.cpp)	rust_home	calls
e065_ConstructSAMVResetInstruction	065/130	1	26	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:4068	2912-2937	src/bridges/sentient_to_progir/construct/mask_and_splat.rs	setCommonField
e066_ConstructSetMaskInstr	066/130	1	22	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:4095	2940-2961	src/bridges/sentient_to_progir/construct/mask_and_splat.rs	setCommonField
e067_fillImmField	067/130	1	26	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:4130	2964-2989	src/bridges/sentient_to_progir/construct/reg_init.rs	getAddrWraparounded,setCommonField
e068_getRegImmVals	068/130	1	102	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:1140	2992-3093	src/bridges/sentient_to_progir/lower/labels_and_regs.rs	getAddrWraparounded
e069_recordOpRegDefs	069/130	1	30	dcc/src/Conversion/SentientToProgIR/RegDefTracker.cpp:22	3096-3125	src/bridges/sentient_to_progir/reg_def_tracker.rs	setRegDef
e070_dtor_UniformRegionContext	070/130	1	28	dcc/src/Conversion/SentientToProgIR/RegDefTracker.cpp:77	3128-3155	src/bridges/sentient_to_progir/reg_def_tracker.rs	addRegDefsForUnit
e071_createJmpInstr	071/130	1	12	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:30	3158-3169	src/bridges/sentient_to_progir/uniform/instr.rs	setCommonField
e072_addEntryToOperandMap	072/130	1	121	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:52	3172-3292	src/bridges/sentient_to_progir/uniform/instr.rs	updateProperConsumer
e073_addEntryToOperandMap	073/130	1	43	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:174	3295-3337	src/bridges/sentient_to_progir/uniform/instr.rs	-
e074_getMaxInstrRegionIndex	074/130	1	12	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:340	3340-3351	src/bridges/sentient_to_progir/uniform/block.rs	getMaxInstrSize
e075_getRegionInstrSize	075/130	1	7	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:353	3354-3360	src/bridges/sentient_to_progir/uniform/block.rs	getMaxInstrSize
e076_getUnitUniformInstrList	076/130	1	9	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:383	3363-3371	src/bridges/sentient_to_progir/uniform/block.rs	getUnitInstrList
e077_getLastBlockCurrentInstrSize	077/130	1	3	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:433	3374-3376	src/bridges/sentient_to_progir/uniform/block.rs	getCurrentRegionInstrSize
e078_addInstructionToLastBlock	078/130	1	6	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:436	3379-3384	src/bridges/sentient_to_progir/uniform/block.rs	insertInstruction
e079_getNextInstrIndex	079/130	1	19	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:464	3387-3405	src/bridges/sentient_to_progir/uniform/block.rs	getCurrentRegionInstrSize
