unit	entry	level	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-bridge3/cpp/bridge3.cpp)	rust_home	calls
e104_LowerLoadComputeAndSendOperation	104/130	3	33	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:319	5848-5880	src/bridges/sentient_to_progir/lower/transfer.rs	ConstructAssignInstr,ConstructLoadComputeInstr,updateLabelAndAddToCodeGraph
e105_LowerSyncOperation	105/130	3	37	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:353	5883-5919	src/bridges/sentient_to_progir/lower/control.rs	ConstructNOPInstr,ConstructSyncInstr,addInstructionToLastBlock,updateLabelAndAddToCodeGraph
e106_LowerNOPOperation	106/130	3	14	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:391	5922-5935	src/bridges/sentient_to_progir/lower/control.rs	ConstructNOPInstr,updateLabelAndAddToCodeGraph
e107_LowerCommonOperations	107/130	3	26	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:538	5938-5963	src/bridges/sentient_to_progir/lower/compute.rs	ConstructNOPInstr,getNextInstrIndex,updateLabelAndAddToCodeGraph
e108_LowerBinaryOperation	108/130	3	8	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:565	5966-5973	src/bridges/sentient_to_progir/lower/compute.rs	ConstructBinaryInstr,updateLabelAndAddToCodeGraph
e109_LowerUnaryOperation	109/130	3	7	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:574	5976-5982	src/bridges/sentient_to_progir/lower/compute.rs	ConstructUnaryInstr,updateLabelAndAddToCodeGraph
e110_LowerTernaryOperation	110/130	3	8	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:582	5985-5992	src/bridges/sentient_to_progir/lower/compute.rs	ConstructTernaryInstr,updateLabelAndAddToCodeGraph
e111_LowerForOperation	111/130	3	66	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:591	5995-6060	src/bridges/sentient_to_progir/lower/control.rs	AddToLabelsMap,ConstructAssignInstr,ConstructMVLoopInstr,GetAddressScale,addToRegInit,getRegImmVals,hasCommonField,updateLabelAndAddToCodeGraph
e112_LowerMACOperation	112/130	3	31	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:658	6063-6093	src/bridges/sentient_to_progir/lower/compute.rs	ConstructFMAInstr,ConstructXRFADDInstr,updateLabelAndAddToCodeGraph
e113_LowerSubOperation	113/130	3	40	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:690	6096-6135	src/bridges/sentient_to_progir/lower/compute.rs	ConstructJSUBInstr,ConstructLARorEARSUBInstr,ConstructLRFSUBInstr,GetAddressScale,updateLabelAndAddToCodeGraph
e114_LowerAddOperation	114/130	3	50	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:731	6138-6187	src/bridges/sentient_to_progir/lower/compute.rs	ConstructJADDInstr,ConstructLARorEARADDInstr,ConstructLRFADDInstr,ConstructXRFADDInstr,GetAddressScale,updateLabelAndAddToCodeGraph
e115_LowerReturnOperation	115/130	3	7	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:900	6190-6196	src/bridges/sentient_to_progir/lower/control.rs	ConstructReturnInstr,updateLabelAndAddToCodeGraph
e116_LowerSetSendDestinationOperation	116/130	3	18	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:908	6199-6216	src/bridges/sentient_to_progir/lower/control.rs	ConstructSetDestInstr,ConstructSetDstMaskInstr,updateLabelAndAddToCodeGraph
e117_LowerOpaqueOperation	117/130	3	12	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:939	6219-6230	src/bridges/sentient_to_progir/lower/compute.rs	ConstructOpaqueInstr,updateLabelAndAddToCodeGraph
e118_LowerSAMVOperation	118/130	3	14	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:952	6233-6246	src/bridges/sentient_to_progir/lower/compute.rs	ConstructSAMVInstr,updateLabelAndAddToCodeGraph
e119_LowerSetMaskOperation	119/130	3	10	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:1118	6249-6258	src/bridges/sentient_to_progir/lower/compute.rs	ConstructSetMaskInstr,updateLabelAndAddToCodeGraph
e120_LowerIncrMaskOperation	120/130	3	10	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:1129	6261-6270	src/bridges/sentient_to_progir/lower/compute.rs	ConstructIncrMaskInstr,updateLabelAndAddToCodeGraph
e121_getUniformizedUnitUniformInstrList	121/130	3	32	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.cpp:393	6273-6304	src/bridges/sentient_to_progir/uniform/block.rs	getCommonField,getUniformizedUnitInstrList,setCommonField
e122_LowerCopyOperation	122/130	4	95	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:406	6312-6406	src/bridges/sentient_to_progir/lower/transfer.rs	ConstructAssignInstr,GetAddressScale,LowerCommonOperations,addToRegInit,getRegImmVals,updateLabelAndAddToCodeGraph
e123_LowerYieldOperation	123/130	4	117	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:782	6409-6525	src/bridges/sentient_to_progir/lower/control.rs	AddToLabelsMap,ConstructAssignInstr,ConstructBranchExitInstr,ConstructJMPInstr,LowerCommonOperations,getLastInstr,updateLabelAndAddToCodeGraph
e124_LowerSplatOperation	124/130	4	11	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:927	6528-6538	src/bridges/sentient_to_progir/lower/compute.rs	ConstructSplatPadInstr,updateLabelAndAddToCodeGraph
e125_LowerUniformYieldOperation	125/130	4	61	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:1056	6541-6601	src/bridges/sentient_to_progir/lower/control.rs	ConstructAssignInstr,LowerCommonOperations,appendEmptyUniformRegion,appendRegularBlock,getLastInstr,updateLabelAndAddToCodeGraph
e126_LowerUniformOperations	126/130	5	70	dcc/src/Conversion/SentientToProgIR/LowerSentientHelper.cpp:985	6609-6678	src/bridges/sentient_to_progir/lower/control.rs	GenerateProgIR,LowerCommonOperations,appendUniformBlock,setCurrentRegion
e127_GenerateProgIR	127/130	5	65	dcc/src/Conversion/SentientToProgIR/SentientToProgIR.cpp:53	6681-6745	src/bridges/sentient_to_progir/driver.rs	ConstructSAMVResetInstruction,addInstructionToLastBlock
e128_GenerateProgIR	128/130	5	111	dcc/src/Conversion/SentientToProgIR/SentientToProgIR.cpp:119	6748-6858	src/bridges/sentient_to_progir/driver.rs	AddToLabelsMap,ConstructJCMPInstr,LowerAddOperation,LowerBinaryOperation,LowerCommonOperations,LowerCopyOperation,LowerForOperation,LowerIncrMaskOperation,LowerLoadAndExtractScalarOperation,LowerLoadAndSendOperation,LowerLoadAndStoreOperation,LowerLoadComputeAndSendOperation,LowerMACOperation,LowerNOPOperation,LowerOpaqueOperation,LowerReceiveAndExtractScalarOperation,LowerReceiveAndStoreOperation,LowerReturnOperation,LowerSAMVOperation,LowerSetMaskOperation,LowerSetSendDestinationOperation,LowerSplatOperation,LowerSubOperation,LowerSyncOperation,LowerTernaryOperation,LowerUnaryOperation,LowerUniformOperations,LowerUniformYieldOperation,LowerYieldOperation,recordOpRegDefs,updateLabelAndAddToCodeGraph
e129_GenerateProgIRForProgramUnit	129/130	6	186	dcc/src/Conversion/SentientToProgIR/SentientToProgIR.cpp:234	6866-7051	src/bridges/sentient_to_progir/driver.rs	GenerateProgIR,doesInstrWithThisIndexExist,getRegularInstr,getUniformInstr,getUniformizedInstr,getUniformizedUnitUniformInstrList,setCommonField
e130_runOnOperation	130/130	7	135	dcc/src/Conversion/SentientToProgIR/SentientToProgIR.cpp:610	7059-7193	src/bridges/sentient_to_progir/driver.rs	GenerateProgIRForProgramUnit,checkRegDefs,equalizeProgramLength,initializeUtilizedRegisters,replaceProgramBodyWithSmcOp
