unit	entry	level	scc	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-senpass/cpp/sentient.cpp)	rust_home	calls
e555_findPatternsAndSimplify	555/656	4	142	340	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:1101	23952-24293	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/pattern_simplification_manager.rs	e027_print,e252_size,e286_recomputeAsDefaultVals,e289_computeTemplateSeqAndUpdateMonotoneSeq,e291_padTableSlice,e292_generateEncodingTypes,e293_generateEncodingTuple,e294_codeGenMonotoneTableSlice,e432_transformInContiguousSequenceCase,e433_transformInMonotoneSequenceCase,e434_parseSequence,e435_codeGenGenericNestedIf,e496_parseFixedDims
e556_deuniform	556/656	4	155	70	dcc/src/Transform/Sentient/Deuniform.cpp:375	24302-24374	crates/compiler/deeptools/src/transform/sentient/deuniform/mod.rs	e252_size,e298_duplicateAndUpdateEntriesOfQueryMap,e497_duplicateAndUpdateRegionsOfLocalRegionOps
e557_exploreOperation	557/656	4	167	57	dcc/src/Transform/Sentient/EnhancedDeadVariableElimination.cpp:367	24383-24440	crates/compiler/deeptools/src/transform/sentient/enhanced_dead_variable_elimination/mod.rs	e041_getInfluenceType,e498_updateForOperation,e499_updateIfOperation,e500_updateUniformizeRegionsOperation,e558_exploreBlock
e558_exploreBlock	558/656	4	167	23	dcc/src/Transform/Sentient/EnhancedDeadVariableElimination.cpp:426	24449-24472	crates/compiler/deeptools/src/transform/sentient/enhanced_dead_variable_elimination/mod.rs	e557_exploreOperation
e559_runOnOperation	559/656	4	179	5	dcc/src/Transform/Sentient/ImplicitSyncRE.cpp:82	24481-24486	crates/compiler/deeptools/src/transform/sentient/implicit_sync_re/mod.rs	e438_runOn,e501_runOn
e560_reduceLiveRange	560/656	4	216	28	dcc/src/Transform/Sentient/LiveRangeReduction.cpp:885	24495-24524	crates/compiler/deeptools/src/transform/sentient/live_range_reduction/mod.rs	e252_size,e441_findDominantValue,e502_reconstructOperation
e561_run	561/656	4	232	19	dcc/src/Transform/Sentient/LocalRegionSplittingForValueCommoning.cpp:252	24533-24553	crates/compiler/deeptools/src/transform/sentient/local_region_splitting_for_value_commoning/mod.rs	e064_dump,e065_dump,e444_analyze,e505_transform
e562_absorptionAnalysis	562/656	4	244	65	dcc/src/Transform/Sentient/LoopAbsorption.cpp:424	24562-24627	crates/compiler/deeptools/src/transform/sentient/loop_absorption/loop_absorption_manager.rs	e067_updateLoopBound,e070_removeNodesFromWorklistAndTree,e309_absorbIntoAnchorFromLeft,e310_absorbIntoAnchorFromRight,e506_canAbsorbToTheLeft,e507_canAbsorbToTheRight
e563_runOnOperation	563/656	4	253	74	dcc/src/Transform/Sentient/LoopCoalescing.cpp:302	24636-24710	crates/compiler/deeptools/src/transform/sentient/loop_coalescing/mod.rs	e252_size,e311_getCandidateLoops,e445_coalesceLoops,e498_updateForOperation,e546_findAndReplaceRedundantIterArgsUsedInConditions
e564_runLoopMerging	564/656	4	266	39	dcc/src/Transform/Sentient/LoopMerging.cpp:281	24719-24758	crates/compiler/deeptools/src/transform/sentient/loop_merging/mod.rs	e316_mergeLoops,e508_loopsAreMergeable
e565_collectDeltasOfOperands	565/656	4	280	109	dcc/src/Transform/Sentient/LoopRolling.cpp:392	24767-24877	crates/compiler/deeptools/src/transform/sentient/loop_rolling/mod.rs	e077_isIncrementField,e083_computeValsIfDifferent,e510_insertOperandKind,e511_insertOperandDelta
e566_getSavedCycleAndIbuffCost	566/656	4	298	117	dcc/src/Transform/Sentient/LoopSplittingAndUnrolling.cpp:335	24886-25005	crates/compiler/deeptools/src/transform/sentient/loop_splitting_and_unrolling/mod.rs	e088_ifOpUsesIV,e514_findOptimalNWaySplits
e567_doSplitOrUnroll	567/656	4	304	23	dcc/src/Transform/Sentient/LoopSplittingAndUnrolling.cpp:993	25014-25039	crates/compiler/deeptools/src/transform/sentient/loop_splitting_and_unrolling/mod.rs	e447_splitLoopNWay,e513_unrollLoop
e568_computePeelingInfo	568/656	4	310	49	dcc/src/Transform/Sentient/MultiDimLoopPeeling.cpp:351	25048-25098	crates/compiler/deeptools/src/transform/sentient/multi_dim_loop_peeling/loop_peeling_manager.rs	e245_reversePredicate,e515_getOrCreateTupleForIV
e569_runOn	569/656	4	342	43	dcc/src/Transform/Sentient/MulticastCanonicalization.cpp:327	25107-25150	crates/compiler/deeptools/src/transform/sentient/multicast_canonicalization/mod.rs	e098_processDirectMulticast,e324_processQMapOfDirectMulticast,e516_processConditional
e570_getFirstSource	570/656	4	370	5	dcc/src/Transform/Sentient/OldRegisterInitialization.cpp:788	25159-25165	crates/compiler/deeptools/src/transform/sentient/old_register_initialization/mod.rs	e517_getSource
e571_runOpRerolling	571/656	4	333	29	dcc/src/Transform/Sentient/OpRerolling.cpp:1008	25174-25203	crates/compiler/deeptools/src/transform/sentient/op_rerolling/mod.rs	e252_size,e334_mergeScalarOpIntoMac,e519_processOneBlock
e572_computePortLiveRange	572/656	4	385	40	dcc/src/Transform/Sentient/PortAssignment.cpp:165	25212-25252	crates/compiler/deeptools/src/transform/sentient/port_assignment/mod.rs	e252_size,e422_insert,e520_processDataID
e573_runOnOperation	573/656	4	422	11	dcc/src/Transform/Sentient/RegisterPacking.cpp:410	25261-25272	crates/compiler/deeptools/src/transform/sentient/register_packing/mod.rs	e133_cleanup,e522_runOnProgramUnitOp
e574_initializeWorkList	574/656	4	436	8	dcc/src/Transform/Sentient/RegisterTypeAssignment.cpp:987	25281-25289	crates/compiler/deeptools/src/transform/sentient/register_type_assignment/mod.rs	e138_clear,e422_insert,e524_initializeAssignmentForAnOperation
e575_runOnOperation	575/656	4	451	28	dcc/src/Transform/Sentient/RemoveRedundantConditionals.cpp:295	25298-25326	crates/compiler/deeptools/src/transform/sentient/remove_redundant_conditionals/mod.rs	e526_processIfOp
e576_runOn	576/656	4	471	67	dcc/src/Transform/Sentient/ScalarCopyInsertionForSymbols.cpp:148	25335-25402	crates/compiler/deeptools/src/transform/sentient/scalar_copy_insertion_for_symbols/mod.rs	e149_collectOpsOfInterest,e150_pessimizeLiveness,e155_dumpSymbolicLocales,e156_dumpCandidates,e252_size,e358_collectCandidates,e359_insertCopyOpsForCandidates,e360_dumpSymbolUsageInfo,e527_collectSymbolUsage
e577_collectBlocks	577/656	4	487	26	dcc/src/Transform/Sentient/ScalarOpMergingAndHoisting.cpp:869	25411-25437	crates/compiler/deeptools/src/transform/sentient/scalar_op_merging_and_hoisting/scalar_op_merging.rs	e422_insert,e528_buildBlock
e578_adjustCandidateForOpResult	578/656	4	499	19	dcc/src/Transform/Sentient/ScalarOpMergingAndHoisting.cpp:1514	25446-25466	crates/compiler/deeptools/src/transform/sentient/scalar_op_merging_and_hoisting/scalar_op_hoisting.rs	e170_addForOpResultAdjustment,e365_applyOperationData,e529_processForOpResult
e579_runOn	579/656	4	520	15	dcc/src/Transform/Sentient/ScalarOpReordering.cpp:191	25475-25490	crates/compiler/deeptools/src/transform/sentient/scalar_op_reordering/mod.rs	e176_computeOpIndexing,e531_findAndProcessCandidates
e580_runOldLightWeightSimplifications	580/656	4	200	25	dcc/src/Transform/Sentient/ScalarSimplifications.cpp:690	25499-25524	crates/compiler/deeptools/src/transform/sentient/scalar_simplifications/sentient.rs	e534_lightWeightSimplifyBinaryArithmetic
e581_runOnOperation	581/656	4	527	54	dcc/src/Transform/Sentient/ScalarSimplifications.cpp:872	25533-25587	crates/compiler/deeptools/src/transform/sentient/scalar_simplifications/mod.rs	e471_simplifyConditionals,e532_simplifyBinaryOperation,e533_simplifyLoadStoreOperation
e582_runOnOperation	582/656	4	530	5	dcc/src/Transform/Sentient/SetActiveMaskValueRE.cpp:78	25596-25601	crates/compiler/deeptools/src/transform/sentient/set_active_mask_value_re/mod.rs	e473_runOn,e535_runOn
e583_runOnOperation	583/656	4	557	5	dcc/src/Transform/Sentient/SetSendDestinationRE.cpp:169	25610-25615	crates/compiler/deeptools/src/transform/sentient/set_send_destination_re/mod.rs	e475_runOn,e537_runOn
e584_runOnOperation	584/656	4	578	7	dcc/src/Transform/Sentient/SinkScalarCopy.cpp:167	25624-25631	crates/compiler/deeptools/src/transform/sentient/sink_scalar_copy/mod.rs	e477_runOn,e538_runOn,e539_runOn
e585_runOnOperation	585/656	4	618	35	dcc/src/Transform/Sentient/TransformForExposedPipeline.cpp:341	25640-25675	crates/compiler/deeptools/src/transform/sentient/transform_for_exposed_pipeline/mod.rs	e235_cleanUp,e237_insertNOPOperations,e543_computeDependencies
e586_runOnOperation	586/656	4	622	5	dcc/src/Transform/Sentient/UniformMapCanonicalization.cpp:58	25684-25689	crates/compiler/deeptools/src/transform/sentient/uniform_map_canonicalization/mod.rs	e484_runOn,e544_runOn,e545_runOn
e587_getMin	587/656	5	32	4	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:749	25698-25702	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e399_getMin,e403_getMin,e405_getMin,e409_getMin,e412_getMin,e547_getMin,e589_getMin
e588_getMax	588/656	5	33	4	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:754	25711-25715	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e400_getMax,e404_getMax,e406_getMax,e410_getMax,e413_getMax,e548_getMax,e590_getMax
e589_getMin	589/656	5	32	9	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:829	25724-25733	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e399_getMin,e403_getMin,e405_getMin,e409_getMin,e412_getMin,e547_getMin,e587_getMin
e590_getMax	590/656	5	33	14	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:839	25742-25756	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e400_getMax,e404_getMax,e406_getMax,e410_getMax,e413_getMax,e548_getMax,e588_getMax
e591_runOnOperation	591/656	5	48	9	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1200	25765-25774	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e549_runOn
e592_updateHeadOfChainMutableAddrInitializer	592/656	5	76	92	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1799	25783-25876	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/abstract_data_transfer_updater.rs	e009_createOffsetValue,e011_getOffset,e012_getOffset,e013_getOffset,e014_dump,e257_getBaseAddr,e418_getOffset,e424_dump,e425_dump,e426_dump,e427_dump,e492_dump,e493_dump,e553_dump
e593_initializeDescriptor	593/656	5	57	161	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2316	25885-26046	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/data_transfer_descriptor.rs	e002_getAllConstants,e015_getInit,e016_ConditionalConstantDescriptor,e252_size,e278_isValid,e279_canBeSimplified,e280_IntegerSequenceDescriptor,e281_DiscreteIntegerSetDescriptor,e282_LoopingChainMutableAddrDescriptor,e407_getInit,e408_getAllConstants,e411_getInit,e414_getInit,e485_getX,e492_dump,e552_ToggleDescriptor
e594_runOnOperation	594/656	5	143	201	dcc/src/Transform/Sentient/CFGSimplificationSentientLevel.cpp:713	26055-26256	crates/compiler/deeptools/src/transform/sentient/cfg_simplification_sentient_level/mod.rs	e027_print,e278_isValid,e422_insert,e515_getOrCreateTupleForIV,e555_findPatternsAndSimplify
e595_deuniform	595/656	5	156	30	dcc/src/Transform/Sentient/Deuniform.cpp:448	26265-26298	crates/compiler/deeptools/src/transform/sentient/deuniform/mod.rs	e252_size,e556_deuniform
e596_updateProgramUnit	596/656	5	168	3	dcc/src/Transform/Sentient/EnhancedDeadVariableElimination.cpp:451	26307-26310	crates/compiler/deeptools/src/transform/sentient/enhanced_dead_variable_elimination/mod.rs	e558_exploreBlock
e597_runLightWeightSimplifications	597/656	5	202	144	dcc/src/Transform/Sentient/LightweightSimplification.cpp:180	26319-26464	crates/compiler/deeptools/src/transform/sentient/lightweight_simplification/sentient.rs	e052_addOrSubWithZeroSimplification,e053_constantValueSimplification,e054_coalesceScalarArithSimplification,e055_simplifyTrivialLoop,e252_size,e498_updateForOperation,e546_findAndReplaceRedundantIterArgsUsedInConditions,e580_runOldLightWeightSimplifications
e598_runOnOperation	598/656	5	222	45	dcc/src/Transform/Sentient/LiveRangeReduction.cpp:1267	26473-26518	crates/compiler/deeptools/src/transform/sentient/live_range_reduction/mod.rs	e304_printSsaMap,e503_mapAllValues,e504_optimizeUniformRegionYieldedValues,e560_reduceLiveRange
e599_runOn	599/656	5	233	11	dcc/src/Transform/Sentient/LocalRegionSplittingForValueCommoning.cpp:240	26527-26539	crates/compiler/deeptools/src/transform/sentient/local_region_splitting_for_value_commoning/mod.rs	e561_run
e600_runLoopAbsorption	600/656	5	245	48	dcc/src/Transform/Sentient/LoopAbsorption.cpp:495	26548-26596	crates/compiler/deeptools/src/transform/sentient/loop_absorption/mod.rs	e562_absorptionAnalysis
e601_runOn	601/656	5	267	13	dcc/src/Transform/Sentient/LoopMerging.cpp:321	26605-26618	crates/compiler/deeptools/src/transform/sentient/loop_merging/mod.rs	e564_runLoopMerging
e602_compareToNextWindow	602/656	5	281	67	dcc/src/Transform/Sentient/LoopRolling.cpp:321	26627-26695	crates/compiler/deeptools/src/transform/sentient/loop_rolling/mod.rs	e078_setEffectiveStart,e079_checkOpUsage,e252_size,e317_checkDeltasOfOperands,e565_collectDeltasOfOperands
e603_findBestLoopNodeToOptimize	603/656	5	300	69	dcc/src/Transform/Sentient/LoopSplittingAndUnrolling.cpp:479	26704-26776	crates/compiler/deeptools/src/transform/sentient/loop_splitting_and_unrolling/mod.rs	e088_ifOpUsesIV,e089_hasIfOps,e566_getSavedCycleAndIbuffCost
e604_findCandidates	604/656	5	311	30	dcc/src/Transform/Sentient/MultiDimLoopPeeling.cpp:402	26785-26815	crates/compiler/deeptools/src/transform/sentient/multi_dim_loop_peeling/loop_peeling_manager.rs	e093_stringifyPeelingType,e094_insertOrUpdatePeelingType,e568_computePeelingInfo
e605_runOn	605/656	5	343	24	dcc/src/Transform/Sentient/MulticastCanonicalization.cpp:371	26824-26848	crates/compiler/deeptools/src/transform/sentient/multicast_canonicalization/mod.rs	e097_runOn,e569_runOn
e606_run	606/656	5	377	224	dcc/src/Transform/Sentient/OldRegisterInitialization.cpp:811	26857-27081	crates/compiler/deeptools/src/transform/sentient/old_register_initialization/register_init_candidate_promoter.rs	e063_getMaxRegNum,e108_removeInitAttrFromOps,e109_eraseDeletedOps,e110_hasSameAttr,e111_isWithinGlobalRegion,e112_isSameOpType,e249_normalizeNullValues,e251_add,e252_size,e253_areAllValuesEqual,e332_moveSSAToInit,e422_insert,e452_postProcessing,e517_getSource,e518_replace,e570_getFirstSource
e607_runOnOperation	607/656	5	382	13	dcc/src/Transform/Sentient/OpRerolling.cpp:994	27090-27103	crates/compiler/deeptools/src/transform/sentient/op_rerolling/mod.rs	e571_runOpRerolling
e608_buildGraphEdges	608/656	5	391	37	dcc/src/Transform/Sentient/PortAssignment.cpp:644	27112-27149	crates/compiler/deeptools/src/transform/sentient/port_assignment/mod.rs	e572_computePortLiveRange
e609_runOn	609/656	5	438	55	dcc/src/Transform/Sentient/RegisterTypeAssignment.cpp:996	27158-27213	crates/compiler/deeptools/src/transform/sentient/register_type_assignment/mod.rs	e352_updateProgramUnit,e523_processWorkList,e574_initializeWorkList
e610_runOnOperation	610/656	5	472	17	dcc/src/Transform/Sentient/ScalarCopyInsertionForSymbols.cpp:130	27222-27239	crates/compiler/deeptools/src/transform/sentient/scalar_copy_insertion_for_symbols/mod.rs	e152_clear,e576_runOn
e611_runScalarOpMerging	611/656	5	490	10	dcc/src/Transform/Sentient/ScalarOpMergingAndHoisting.cpp:569	27248-27258	crates/compiler/deeptools/src/transform/sentient/scalar_op_merging_and_hoisting/scalar_op_merging.rs	e363_markFieldUnrollingCandidates,e364_doScalarOpMerging,e577_collectBlocks
e612_processForLinearChain	612/656	5	503	129	dcc/src/Transform/Sentient/ScalarOpMergingAndHoisting.cpp:1893	27267-27397	crates/compiler/deeptools/src/transform/sentient/scalar_op_merging_and_hoisting/scalar_op_hoisting.rs	e361_isImmutableValueInRange,e469_hoistForLinearChain,e578_adjustCandidateForOpResult
e613_processForGenericHoisting	613/656	5	504	81	dcc/src/Transform/Sentient/ScalarOpMergingAndHoisting.cpp:2075	27406-27488	crates/compiler/deeptools/src/transform/sentient/scalar_op_merging_and_hoisting/scalar_op_hoisting.rs	e171_isMergeableOpOrChain,e173_hoistCandidateOutOfLoop,e365_applyOperationData,e578_adjustCandidateForOpResult
e614_computeAddressInfoList	614/656	6	96	59	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1675	27497-27556	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e007_isPartOfSomeChain,e258_isToggle,e273_isHeadOfChain,e278_isValid,e399_getMin,e400_getMax,e403_getMin,e404_getMax,e405_getMin,e406_getMax,e409_getMin,e410_getMax,e412_getMin,e413_getMax,e547_getMin,e548_getMax,e587_getMin,e588_getMax,e589_getMin,e590_getMax
e615_updateImmutableAddr	615/656	6	77	20	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2043	27565-27586	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/conditional_const_data_transfer_updater.rs	e009_createOffsetValue,e265_getConditionalConstantDescriptor,e266_getConditionalConstantDescriptor,e278_isValid,e399_getMin,e400_getMax,e403_getMin,e404_getMax,e405_getMin,e406_getMax,e409_getMin,e410_getMax,e412_getMin,e413_getMax,e547_getMin,e548_getMax,e587_getMin,e588_getMax,e589_getMin,e590_getMax
e616_updateConstantMutableAddr	616/656	6	84	21	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2088	27595-27617	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/conditional_const_data_transfer_updater.rs	e011_getOffset,e012_getOffset,e013_getOffset,e265_getConditionalConstantDescriptor,e266_getConditionalConstantDescriptor,e277_updateVariableOffsetCalculation,e400_getMax,e404_getMax,e406_getMax,e410_getMax,e413_getMax,e418_getOffset,e548_getMax,e588_getMax,e590_getMax
e617_updateImmutableAddr	617/656	6	72	15	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2114	27626-27642	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/integer_sequence_data_transfer_updater.rs	e009_createOffsetValue,e267_getIntegerSequenceDescriptor,e268_getIntegerSequenceDescriptor,e278_isValid,e399_getMin,e400_getMax,e403_getMin,e404_getMax,e405_getMin,e406_getMax,e409_getMin,e410_getMax,e412_getMin,e413_getMax,e547_getMin,e548_getMax,e587_getMin,e588_getMax,e589_getMin,e590_getMax
e618_updateConstantMutableAddr	618/656	6	82	21	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2143	27651-27673	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/integer_sequence_data_transfer_updater.rs	e011_getOffset,e012_getOffset,e013_getOffset,e267_getIntegerSequenceDescriptor,e268_getIntegerSequenceDescriptor,e400_getMax,e404_getMax,e406_getMax,e410_getMax,e413_getMax,e418_getOffset,e490_updateVariableOffsetCalculation,e548_getMax,e588_getMax,e590_getMax
e619_LXDataTransferDescriptor	619/656	6	60	23	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2553	27682-27708	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/lx_data_transfer_descriptor.rs	e593_initializeDescriptor
e620_HBMDataTransferDescriptor	620/656	6	58	34	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:2583	27717-27758	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/hbm_data_transfer_descriptor.rs	e262_isLoopingChainMutableAddr,e278_isValid,e593_initializeDescriptor
e621_runOnOperation	621/656	6	157	42	dcc/src/Transform/Sentient/Deuniform.cpp:482	27767-27809	crates/compiler/deeptools/src/transform/sentient/deuniform/mod.rs	e039_existsInCollection,e252_size,e297_simplifyProgramUnitOp,e556_deuniform,e595_deuniform
e622_runOn	622/656	6	169	36	dcc/src/Transform/Sentient/EnhancedDeadVariableElimination.cpp:710	27818-27854	crates/compiler/deeptools/src/transform/sentient/enhanced_dead_variable_elimination/mod.rs	e043_removeConstantIterArgs,e300_processWorkList,e437_initializeWorkList,e596_updateProgramUnit
e623_runOnOperation	623/656	6	203	12	dcc/src/Transform/Sentient/LightweightSimplification.cpp:335	27863-27875	crates/compiler/deeptools/src/transform/sentient/lightweight_simplification/mod.rs	e597_runLightWeightSimplifications
e624_runOnOperation	624/656	6	234	6	dcc/src/Transform/Sentient/LocalRegionSplittingForValueCommoning.cpp:233	27884-27890	crates/compiler/deeptools/src/transform/sentient/local_region_splitting_for_value_commoning/mod.rs	e599_runOn
e625_runOn	625/656	6	246	13	dcc/src/Transform/Sentient/LoopAbsorption.cpp:544	27899-27912	crates/compiler/deeptools/src/transform/sentient/loop_absorption/mod.rs	e600_runLoopAbsorption
e626_runOn	626/656	6	260	79	dcc/src/Transform/Sentient/LoopEliminationViaRerolling.cpp:330	27921-28000	crates/compiler/deeptools/src/transform/sentient/loop_elimination_via_rerolling/mod.rs	e313_isCandidate,e314_removeLoopsContainingLoadSendOrReceiveStore,e315_removeLoopsContainingComputeOp,e597_runLightWeightSimplifications
e627_runOnOperation	627/656	6	268	5	dcc/src/Transform/Sentient/LoopMerging.cpp:335	28009-28014	crates/compiler/deeptools/src/transform/sentient/loop_merging/mod.rs	e601_runOn
e628_matchAndRoll	628/656	6	284	104	dcc/src/Transform/Sentient/LoopRolling.cpp:758	28023-28127	crates/compiler/deeptools/src/transform/sentient/loop_rolling/mod.rs	e081_deleteMatchedOps,e082_updateEndOpsOfMatchedOps,e084_updateBody,e252_size,e512_collectStartingValIterArgs,e602_compareToNextWindow
e629_runOnOperation	629/656	6	305	61	dcc/src/Transform/Sentient/LoopSplittingAndUnrolling.cpp:1019	28136-28197	crates/compiler/deeptools/src/transform/sentient/loop_splitting_and_unrolling/mod.rs	e087_cleanupAndRecalculate,e567_doSplitOrUnroll,e597_runLightWeightSimplifications,e603_findBestLoopNodeToOptimize
e630_run	630/656	6	334	130	dcc/src/Transform/Sentient/MultiDimLoopPeeling.cpp:607	28206-28336	crates/compiler/deeptools/src/transform/sentient/multi_dim_loop_peeling/loop_peeling_manager.rs	e321_printLoopToPeelingType,e448_performLoopPeeling,e564_runLoopMerging,e571_runOpRerolling,e597_runLightWeightSimplifications,e600_runLoopAbsorption,e604_findCandidates
e631_promoteRegisterInitCandidatesAboveUniformRegion	631/656	6	378	5	dcc/src/Transform/Sentient/OldRegisterInitialization.cpp:1036	28345-28354	crates/compiler/deeptools/src/transform/sentient/old_register_initialization/mod.rs	e606_run
e632_doPortAssignments	632/656	6	395	12	dcc/src/Transform/Sentient/PortAssignment.cpp:776	28363-28376	crates/compiler/deeptools/src/transform/sentient/port_assignment/mod.rs	e123_clean,e340_updateSentientIRPorts,e341_addReuseToDummyOperands,e382_performGraphColoring,e455_buildGraphNodes,e608_buildGraphEdges
e633_runOnOperation	633/656	6	439	17	dcc/src/Transform/Sentient/RegisterTypeAssignment.cpp:113	28385-28402	crates/compiler/deeptools/src/transform/sentient/register_type_assignment/mod.rs	e524_initializeAssignmentForAnOperation,e609_runOn
e634_runOn	634/656	6	458	118	dcc/src/Transform/Sentient/ReuseLoopIteratorArguments.cpp:140	28411-28529	crates/compiler/deeptools/src/transform/sentient/reuse_loop_iterator_arguments/mod.rs	e356_reuseIdenticalIterArgs,e467_replaceCorrelatedIterArgsInEquivClass,e597_runLightWeightSimplifications
e635_runScalarOpHoisting	635/656	6	505	61	dcc/src/Transform/Sentient/ScalarOpMergingAndHoisting.cpp:2184	28538-28599	crates/compiler/deeptools/src/transform/sentient/scalar_op_merging_and_hoisting/scalar_op_hoisting.rs	e530_processForDerivedIVElimination,e612_processForLinearChain,e613_processForGenericHoisting
e636_runOn	636/656	6	507	14	dcc/src/Transform/Sentient/ScalarOpMergingAndHoisting.cpp:2389	28608-28622	crates/compiler/deeptools/src/transform/sentient/scalar_op_merging_and_hoisting/mod.rs	e366_runOn,e597_runLightWeightSimplifications
e637_collectDataTransfers	637/656	7	61	41	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1395	28631-28674	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e422_insert,e619_LXDataTransferDescriptor,e620_HBMDataTransferDescriptor
e638_update	638/656	7	86	60	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1738	28683-28743	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/abstract_data_transfer_updater.rs	e007_isPartOfSomeChain,e010_updateVariableOffsetCalculation,e011_getOffset,e012_getOffset,e013_getOffset,e014_dump,e273_isHeadOfChain,e276_updateImmutableAddr,e277_updateVariableOffsetCalculation,e417_isHeadOfLoopingChain,e418_getOffset,e420_updateImmutableAddr,e421_updateConstantMutableAddr,e423_lookup,e424_dump,e425_dump,e426_dump,e427_dump,e490_updateVariableOffsetCalculation,e492_dump,e493_dump,e550_updateVariableOffsetCalculation,e551_updateConstantMutableAddr,e553_dump,e592_updateHeadOfChainMutableAddrInitializer,e615_updateImmutableAddr,e616_updateConstantMutableAddr,e617_updateImmutableAddr,e618_updateConstantMutableAddr
e639_runOnOperation	639/656	7	170	6	dcc/src/Transform/Sentient/EnhancedDeadVariableElimination.cpp:58	28752-28758	crates/compiler/deeptools/src/transform/sentient/enhanced_dead_variable_elimination/mod.rs	e622_runOn
e640_runOnOperation	640/656	7	247	5	dcc/src/Transform/Sentient/LoopAbsorption.cpp:558	28767-28772	crates/compiler/deeptools/src/transform/sentient/loop_absorption/mod.rs	e625_runOn
e641_runOnOperation	641/656	7	261	8	dcc/src/Transform/Sentient/LoopEliminationViaRerolling.cpp:410	28781-28789	crates/compiler/deeptools/src/transform/sentient/loop_elimination_via_rerolling/mod.rs	e626_runOn
e642_rollInstrsInBlock	642/656	7	285	77	dcc/src/Transform/Sentient/LoopRolling.cpp:886	28798-28877	crates/compiler/deeptools/src/transform/sentient/loop_rolling/mod.rs	e509_insertNextInstr,e628_matchAndRoll
e643_runOnOperation	643/656	7	335	34	dcc/src/Transform/Sentient/MultiDimLoopPeeling.cpp:738	28886-28920	crates/compiler/deeptools/src/transform/sentient/multi_dim_loop_peeling/mod.rs	e630_run
e644_runOnOperation	644/656	7	379	111	dcc/src/Transform/Sentient/OldRegisterInitialization.cpp:1203	28929-29040	crates/compiler/deeptools/src/transform/sentient/old_register_initialization/mod.rs	e107_hasUniformizeRegion,e108_removeInitAttrFromOps,e327_calcSSAWeight,e328_sortRegCoalescingCandidates,e329_collectAllRegCoalescingCandidates,e332_moveSSAToInit,e422_insert,e449_calcSSAWeight,e450_collectAllRegCoalescingCandidates,e451_collectRegInitAndRegCoalescingCandidateFast,e631_promoteRegisterInitCandidatesAboveUniformRegion
e645_runOnOperation	645/656	7	396	21	dcc/src/Transform/Sentient/PortAssignment.cpp:793	29049-29070	crates/compiler/deeptools/src/transform/sentient/port_assignment/mod.rs	e632_doPortAssignments
e646_runOnOperation	646/656	7	508	5	dcc/src/Transform/Sentient/ScalarOpMergingAndHoisting.cpp:2404	29079-29084	crates/compiler/deeptools/src/transform/sentient/scalar_op_merging_and_hoisting/mod.rs	e366_runOn,e636_runOn
e647_CollectDataTransfersAndComputeMaxStreams	647/656	8	62	39	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1293	29093-29134	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e637_collectDataTransfers
