unit	entry	level	scc	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-senpass/cpp/sentient.cpp)	rust_home	calls
e479_runOnOperation	479/656	2	588	5	dcc/src/Transform/Sentient/SpecializedCanonicalization.cpp:58	18681-18686	crates/compiler/deeptools/src/transform/sentient/specialized_canonicalization/mod.rs	e218_runOn,e219_runOn,e220_runOn,e383_runOn,e384_runOn
e480_FuseStoreAndForward	480/656	2	598	119	dcc/src/Transform/Sentient/StoreAndForwardFusion.cpp:434	18695-18815	crates/compiler/deeptools/src/transform/sentient/store_and_forward_fusion/mod.rs	e223_appendToVector,e224_findFusibleOp,e227_fillOperandForFusibleOp,e228_updateFusibleOp,e248_getFoldModeAttributeIfExists,e385_appendValueForwarding,e386_isEligibleToFuse,e387_fillOperandForTrivialOp
e481_runOn	481/656	2	608	18	dcc/src/Transform/Sentient/ToggleReordering.cpp:181	18824-18842	crates/compiler/deeptools/src/transform/sentient/toggle_reordering/mod.rs	e390_runOn
e482_computeDependenciesSameBlock	482/656	2	614	82	dcc/src/Transform/Sentient/TransformForExposedPipeline.cpp:139	18851-18935	crates/compiler/deeptools/src/transform/sentient/transform_for_exposed_pipeline/mod.rs	e236_macOpsFlowDependence,e252_size,e391_getIndexOfEntry
e483_computeDependenciesAcrossBlocks	483/656	2	615	59	dcc/src/Transform/Sentient/TransformForExposedPipeline.cpp:224	18944-19005	crates/compiler/deeptools/src/transform/sentient/transform_for_exposed_pipeline/mod.rs	e236_macOpsFlowDependence,e252_size,e391_getIndexOfEntry
e484_runOn	484/656	2	619	12	dcc/src/Transform/Sentient/UniformMapCanonicalization.cpp:83	19014-19026	crates/compiler/deeptools/src/transform/sentient/uniform_map_canonicalization/mod.rs	e395_pruneOutOfScopeEntries
e485_getX	485/656	3	8	5	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:227	19035-19040	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e015_getInit,e278_isValid,e407_getInit,e411_getInit,e414_getInit
e486_getSimpleConstantDescriptor	486/656	3	30	4	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:698	19049-19053	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e415_isSimpleConstant
e487_getSimpleConstantDescriptor	487/656	3	31	4	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:702	19062-19066	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e415_isSimpleConstant
e488_computeOrGetNumberOfStreams	488/656	3	66	10	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1439	19075-19085	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e252_size,e422_insert
e489_cleanup	489/656	3	46	9	dcc/src/Transform/Sentient/AddressPinningAndToggle.cpp:1656	19094-19103	crates/compiler/deeptools/src/transform/sentient/address_pinning_and_toggle/mod.rs	e416_clear_all
