unit	entry	level	scc	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines	rust_home	scope	extract_file	class	calls	note
e025_isOpFuncBmmInt4	025/382	0	36	6	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:769	656-662	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e026_isOpFuncBmmInt8	026/382	0	37	7	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:776	672-679	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e027_isOpFuncBmmFp8NonXrf	027/382	0	38	6	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:784	689-695	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e028_isOpFuncBmmFp8Xrf	028/382	0	39	5	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:791	705-710	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e029_isOpFuncBmmFp16	029/382	0	40	6	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:797	720-726	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e030_isOpFuncScalarBroadcast	030/382	0	42	18	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:810	736-754	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e031_isOpFuncReduction	031/382	0	43	7	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:829	764-771	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e032_isOpFuncPooling	032/382	0	44	5	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:837	781-786	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e033_isOpFuncDepthwiseConv	033/382	0	45	5	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:843	796-801	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
e034_isOpFuncQuantization	034/382	0	46	8	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:849	811-819	crates/compiler/deeptools/src/schedule/l3/dl_ops.rs	l3	crustify-ddc/cpp/l3.cpp	L3DlOpsScheduler	-	-
