unit	level	loc	authority	subsystems
e258_allocAllMem	1	306	ddc/ddcv1.cpp:132	dsc2 tree utilities; fold infrastructure; memory trackers
e259_calculateClStartAddress	1	123	ddc/ddcv1.cpp:1895	stick sizes (ALREADY PORTED)
e260_fillLoopOffsetsAndAddresses	1	844	ddc/ddcv1.cpp:2355	dsc2 tree utilities; stick sizes (ALREADY PORTED)
e261_finalizeOps	1	127	ddc/ddcv1.cpp:3329	dsc2 tree utilities; fold infrastructure
e262_coordinateMasking	1	181	ddc/ddcv1.cpp:3485	dsc2 tree utilities; stick sizes (ALREADY PORTED)
e263_identifyBelowChunkBoundaryLoops	1	8	ddc/ddcv1.cpp:3683	dsc2 tree utilities
e276_verifyDdlConstraints	1	216	ddc/ddl/ddl_conversion.cpp:2553	stick sizes (ALREADY PORTED)
e280_runDcgGenerateProgIR	1	70	dcg/dcg_manager/dcg_manager.cpp:145	DCG backend; ISA tables; fold infrastructure
e281_runDcgForInputFetchNeighbor	1	52	dcg/dcg_manager/dcg_manager.cpp:514	DCG backend; fold infrastructure
e282_mergePcfgInSuperDSC	1	259	dcg/dcg_manager/dcg_manager.cpp:635	PCFG translator
e285_calculateBurstEfficiency	2	267	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:1738	dsc2 tree utilities
e286_calculateFlopPerByte	2	230	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:2253	dsc2 tree utilities
e288_createSynchronizationDSC	2	423	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:3487	dsc2 tree utilities
e289_optimizeHbmTransfers	2	76	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:4113	dsc2 tree utilities
e291_fillTransferMulticastInfo	2	127	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:5146	dsc2 tree utilities
e295_fillExplicitTransferSize	2	35	dcg/dcg_fe/scheduler/L3DlOpsScheduler.cpp:7875	dsc2 tree utilities
e296_rollBackNodesInBlock	2	15	ddc/ddc.h:511	dsc2 tree utilities
e297_gatherRelatedPTRowsBase	2	217	ddc/ddc_fold.cpp:740	dsc2 tree utilities
e298_buildFoldFromAllocation	2	245	ddc/ddc_fold.cpp:3043	dsc2 tree utilities
e299_buildFoldFromNonAllocRef	2	355	ddc/ddc_fold.cpp:3294	dsc2 tree utilities
e300_packStickDim	2	544	ddc/ddc_transformation.cpp:811	dsc2 tree utilities
e301_hoistTransfersUpForReuse	2	230	ddc/ddc_transformation.cpp:1432	dsc2 tree utilities
e302_unrollSymbolicTransfers	2	42	ddc/ddc_transformation.cpp:1663	dsc2 tree utilities
