unit	entry	level	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-bridge2/source/bridge2.cpp)	rust_home	calls
e089_getMaskValueForPT	089/384	0	196	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/Helper.cpp:17	1161-1358	src/bridges/dataflow_ir_to_sentient/vc_helper.rs	-
e090_getXrfValue	090/384	0	11	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringXRF.cpp:248	1360-1372	src/bridges/dataflow_ir_to_sentient/vc_lowering_xrf.rs	-
e091_getForOpBound	091/384	0	31	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringXRF.cpp:262	1374-1406	src/bridges/dataflow_ir_to_sentient/vc_lowering_xrf.rs	-
e092_setSentientMacXrfRegIncrAttr	092/384	0	11	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringXRF.cpp:665	1408-1420	src/bridges/dataflow_ir_to_sentient/vc_lowering_xrf.rs	-
e093_replaceAndEraseDummyMacOps	093/384	0	7	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringXRF.cpp:681	1422-1430	src/bridges/dataflow_ir_to_sentient/vc_lowering_xrf.rs	-
e094_computeUnitPrecision	094/384	0	9	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/VectorChainToSentientPT.cpp:31	1432-1442	src/bridges/dataflow_ir_to_sentient/vc_vector_chain_to_sentient_pt.rs	-
e095_isOperationSelected	095/384	0	2	dcc/src/Transform/Dataflow/Analysis/CFGSDataflowConditionalTree.cpp:34	1444-1447	src/bridges/dataflow_ir_to_sentient/tf_cfgs_dataflow_conditional_tree.rs	-
e096_createDummyYieldInElseReg	096/384	0	13	dcc/src/Transform/Dataflow/Analysis/CFGSDataflowConditionalTree.cpp:383	1449-1463	src/bridges/dataflow_ir_to_sentient/tf_cfgs_dataflow_conditional_tree.rs	-
e097_getNewDbgNameFromList	097/384	0	2	dcc/src/Transform/Dataflow/Analysis/CFGSDataflowConditionalTree.cpp:456	1465-1468	src/bridges/dataflow_ir_to_sentient/tf_cfgs_dataflow_conditional_tree.rs	-
e098_getLhsRhsOfEQPredicate	098/384	0	11	dcc/src/Transform/Dataflow/Analysis/CFGSDataflowConditionalTree.cpp:519	1470-1482	src/bridges/dataflow_ir_to_sentient/tf_cfgs_dataflow_conditional_tree.rs	-
e099_ConditionalSimplificationManager	099/384	0	2	dcc/src/Transform/Dataflow/Analysis/CFGSDataflowConditionalTree.hpp:78	1484-1487	src/bridges/dataflow_ir_to_sentient/tf_cfgs_dataflow_conditional_tree.rs	-
e100_TransformationConditionalTree	100/384	0	5	dcc/src/Transform/Dataflow/Analysis/CFGSDataflowConditionalTree.hpp:111	1489-1495	src/bridges/dataflow_ir_to_sentient/tf_cfgs_dataflow_conditional_tree.rs	-
e101_OperationNode	101/384	0	0	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:51	1497-1497	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	-
e102_getParentNode	102/384	0	2	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:53	1499-1502	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	-
e103_getFirstChild	103/384	0	2	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:56	1504-1507	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	-
e104_getNextSibling	104/384	0	2	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:59	1509-1512	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	-
e105_getPrevSibling	105/384	0	2	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:62	1514-1517	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	-
e106_OperationTreeBase	106/384	0	0	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:78	1519-1519	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	-
e107_getRoot	107/384	0	2	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:81	1521-1524	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	-
e108_partitionUnits	108/384	0	17	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:168	1526-1544	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	-
