unit	entry	level	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-bridge2/source/bridge2.cpp)	rust_home	calls
e181_inRegionEmpty	181/384	1	6	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:214	3423-3430	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	e083_getNextSibling,e104_getNextSibling
e182_cloneOpsForRegions	182/384	1	60	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:223	3432-3493	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	e082_getFirstChild,e083_getNextSibling,e103_getFirstChild,e104_getNextSibling
e183_expandAffineApplyOps	183/384	1	53	dcc/src/Transform/Dataflow/LoopUnrollForShuffleOp.cpp:183	3495-3549	src/bridges/dataflow_ir_to_sentient/tf_loop_unroll_for_shuffle_op.rs	e052_If
e184_getLoopTripCount	184/384	1	56	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:743	3551-3608	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	-
e185_hasMutableAddrOverflow	185/384	1	14	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:801	3610-3625	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	-
e186_calculatePartitionSizes	186/384	1	97	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:862	3627-3725	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	e026_has,e052_If,e064_size
e187_constructConditionals	187/384	1	59	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:1000	3727-3787	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	e064_size
e188_calculateSubscriptsCoefficients	188/384	1	11	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:1188	3789-3801	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	e064_size
e189_synthesizeTimeInfo	189/384	1	22	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:1256	3803-3826	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	e064_size
e190_createExplicitTimeLoops	190/384	1	57	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:1282	3828-3886	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	e052_If,e064_size
e191_calculateFullShift	191/384	1	25	dcc/src/Transform/Dataflow/MutableStartAddrShifting.cpp:462	3888-3914	src/bridges/dataflow_ir_to_sentient/tf_mutable_start_addr_shifting.rs	e019_AccessDetailsAffine,e064_size
e192_calculateDimWeights	192/384	1	26	dcc/src/Transform/Dataflow/MutableStartAddrShifting.cpp:560	3916-3943	src/bridges/dataflow_ir_to_sentient/tf_mutable_start_addr_shifting.rs	e019_AccessDetailsAffine,e064_size
e193_matchUnits	193/384	1	77	dcc/src/Transform/Dataflow/ProgramUnitsReduction.cpp:69	3945-4023	src/bridges/dataflow_ir_to_sentient/tf_program_units_reduction.rs	e052_If
e194_analyzeLoop	194/384	1	127	dcc/src/Transform/Dataflow/TransformLoopToLegalizeForSentientLowering.cpp:268	4025-4153	src/bridges/dataflow_ir_to_sentient/tf_transform_loop_to_legalize_for_sentient_lowering.rs	e026_has,e064_size
e195_transformLoop	195/384	1	38	dcc/src/Transform/Dataflow/TransformLoopToLegalizeForSentientLowering.cpp:399	4155-4194	src/bridges/dataflow_ir_to_sentient/tf_transform_loop_to_legalize_for_sentient_lowering.rs	-
e196_runOnOperation	196/384	1	23	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemView.cpp:41	4196-4220	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view.rs	-
e197_calculateIndicesRanges	197/384	1	25	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:56	4222-4248	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	e064_size
e198_createConditionsForHyperRectSubscripts	198/384	1	48	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:289	4250-4299	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	e052_If,e064_size,e120_createEqualityCondition,e121_createInequalityCondition
e199_createConditionsForNonHyperRectSubscripts	199/384	1	35	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:342	4301-4337	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	e064_size,e120_createEqualityCondition,e121_createInequalityCondition
e200_updateTPMVInfo	200/384	1	17	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:382	4339-4357	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	e064_size
e201_setLoopIteratorOrder	201/384	1	13	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:575	4359-4373	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	e064_size
e202_initialize	202/384	1	13	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:658	4375-4389	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	e064_size
e203_removeCoresCoreletsFoldsFromDefImmutMap	203/384	1	37	dcc/src/Transform/Dataflow/UnitFiltering.cpp:99	4391-4429	src/bridges/dataflow_ir_to_sentient/tf_unit_filtering.rs	e052_If,e064_size
e204_cleanup	204/384	1	49	dcc/src/Transform/Dataflow/UnitFiltering.cpp:263	4431-4481	src/bridges/dataflow_ir_to_sentient/tf_unit_filtering.rs	-
e205_isDataTransferToKeep	205/384	1	10	dcc/src/Transform/Dataflow/UnitFiltering.cpp:327	4483-4495	src/bridges/dataflow_ir_to_sentient/tf_unit_filtering.rs	e141_isDataTransfer
e206_constructChunkAndShuffleInfo	206/384	2	167	dcc/src/Conversion/AgenToSentient/AccessDetails.cpp:98	4501-4669	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	e008_setShuffleMode,e009_setRotationPosition,e026_has,e064_size,e149_insert
e207_initialize	207/384	2	57	dcc/src/Conversion/AgenToSentient/AccessDetails.cpp:295	4671-4729	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	e003_setIndices,e010_setExpectedTotalElements,e013_setElementWidth,e014_setTransferSet,e015_setTransferOrder,e017_setSubscriptsMap
e208_emplace_insert	208/384	2	8	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:378	4731-4740	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	e026_has,e064_size,e149_insert,e150_get
e209_getFirst	209/384	2	7	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:411	4742-4750	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	e026_has,e150_get
e210_checkBasicConditions	210/384	2	133	dcc/src/Conversion/AgenToSentient/Helper.cpp:58	4752-4886	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	-
e211_processInterleaveOp	211/384	2	80	dcc/src/Conversion/AgenToSentient/Helper.cpp:305	4888-4969	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e052_If,e064_size
e212_gatherAffineLoadStoreDetails	212/384	2	74	dcc/src/Conversion/AgenToSentient/Helper.cpp:538	4971-5046	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e026_has,e030_getLoopNestLevel,e052_If,e064_size,e149_insert
e213_constructImmutableAddress	213/384	2	16	dcc/src/Conversion/AgenToSentient/Helper.cpp:1217	5048-5065	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e064_size,e149_insert
e214_setImmutableAddrAndIncrements	214/384	2	43	dcc/src/Conversion/AgenToSentient/Helper.cpp:1581	5067-5111	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e052_If,e064_size,e150_get
e215_setsttype	215/384	2	50	dcc/src/Conversion/AgenToSentient/Helper.cpp:1731	5113-5164	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e150_get
e216_constructReceiveAndExtractScalarOp	216/384	2	91	dcc/src/Conversion/AgenToSentient/Helper.cpp:2471	5166-5258	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e026_has,e150_get
e217_lowerVectorLoadHelper	217/384	2	46	dcc/src/Conversion/AgenToSentient/Helper.cpp:2899	5260-5307	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e027_constructLoadAndSendStmt,e064_size,e150_get
e218_lowerSetTransferMaskStateOp	218/384	2	9	dcc/src/Conversion/AgenToSentient/Helper.cpp:3815	5309-5319	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e157_constructSetActiveMaskValueOp
e219_cloneStartAddrOutsideLoop	219/384	2	79	dcc/src/Conversion/AgenToSentient/Helper.cpp:3942	5321-5401	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e158_createUniformizeRegionsOp
e220_cleanupTriviallyRedundantSetSendDestination	220/384	2	38	dcc/src/Conversion/AgenToSentient/Helper.cpp:4084	5403-5442	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e052_If
e221_pushBackTheUnitToListIfDoesnotExist	221/384	2	5	dcc/src/Conversion/DataflowToSentient/DataflowToSentient.cpp:143	5444-5450	src/bridges/dataflow_ir_to_sentient/dfs_dataflow_to_sentient.rs	e150_get
e222_createUniformRegionsWithTwoRegionsNoResult	222/384	2	18	dcc/src/Conversion/DataflowToSentient/DataflowToSentient.cpp:153	5452-5471	src/bridges/dataflow_ir_to_sentient/dfs_dataflow_to_sentient.rs	e150_get
e223_lowerL3SyncOperationForAUnit	223/384	2	57	dcc/src/Conversion/DataflowToSentient/DataflowToSentient.cpp:375	5473-5531	src/bridges/dataflow_ir_to_sentient/dfs_dataflow_to_sentient.rs	e041_ExtendUnitNameToCorelet,e150_get,e159_getUnitNameFromAListOfGetUnitOp
e224_lowerL3SyncOperationForAGroupOfUnits	224/384	2	61	dcc/src/Conversion/DataflowToSentient/DataflowToSentient.cpp:667	5533-5595	src/bridges/dataflow_ir_to_sentient/dfs_dataflow_to_sentient.rs	e041_ExtendUnitNameToCorelet,e150_get,e159_getUnitNameFromAListOfGetUnitOp
e225_matchAndRewrite	225/384	2	69	dcc/src/Conversion/SCFToSentient/SCFToSentient.cpp:72	5597-5667	src/bridges/dataflow_ir_to_sentient/std_scf_to_sentient.rs	e149_insert,e150_get
e226_createIfOpFromMapping	226/384	2	61	dcc/src/Conversion/SymbolToSentient/SymbolToSentient.cpp:123	5669-5731	src/bridges/dataflow_ir_to_sentient/std_symbol_to_sentient.rs	e026_has,e064_size,e150_get
e227_OperandReuse	227/384	2	0	dcc/src/Conversion/VectorChainLowering/CommonHelpers/OperandReuse.hpp:30	5733-5733	src/bridges/dataflow_ir_to_sentient/vc_operand_reuse.rs	-
e228_validateLoweringAndSetMissingParameters	228/384	2	49	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorChainHelper.cpp:483	5735-5785	src/bridges/dataflow_ir_to_sentient/vc_vector_chain_helper.rs	-
e229_getMaskValueForNonPT	229/384	2	9	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorChainHelper.hpp:114	5787-5797	src/bridges/dataflow_ir_to_sentient/vc_vector_chain_helper.rs	-
e230_convertStringToType	230/384	2	24	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorChainHelper.hpp:196	5799-5824	src/bridges/dataflow_ir_to_sentient/vc_vector_chain_helper.rs	e150_get
e231_convertTypeToString	231/384	2	22	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorChainHelper.hpp:223	5826-5849	src/bridges/dataflow_ir_to_sentient/vc_vector_chain_helper.rs	e150_get
e232_getOperandFromLoadOrStoreOp	232/384	2	94	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorOperands.cpp:153	5851-5946	src/bridges/dataflow_ir_to_sentient/vc_vector_operands.rs	e064_size
e233_eraseOperands	233/384	2	46	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorOperands.cpp:690	5948-5995	src/bridges/dataflow_ir_to_sentient/vc_vector_operands.rs	-
e234_setValue	234/384	2	3	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorOperands.hpp:72	5997-6001	src/bridges/dataflow_ir_to_sentient/vc_vector_operands.rs	-
e235_createSentientConstants	235/384	2	31	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPESFP/Splat.cpp:34	6003-6035	src/bridges/dataflow_ir_to_sentient/vc_splat.rs	e026_has,e064_size,e150_get
e236_addMaskNode	236/384	2	16	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/Analysis/LoopMaskTree.cpp:136	6037-6054	src/bridges/dataflow_ir_to_sentient/vc_loop_mask_tree.rs	e078_findNodeFromOp,e080_LoopMaskNode,e082_getFirstChild,e086_MaskNode,e088_getRoot,e103_getFirstChild,e107_getRoot
e237_updateNode	237/384	2	10	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/Analysis/LoopMaskTree.cpp:155	6056-6067	src/bridges/dataflow_ir_to_sentient/vc_loop_mask_tree.rs	e149_insert
e238_computeLoops	238/384	2	18	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/Analysis/LoopMaskTree.cpp:173	6069-6088	src/bridges/dataflow_ir_to_sentient/vc_loop_mask_tree.rs	e080_LoopMaskNode,e087_LMTLoopNode,e088_getRoot,e107_getRoot,e149_insert
e239_insertPTMaskOps	239/384	2	164	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringPTMasks.cpp:41	6090-6255	src/bridges/dataflow_ir_to_sentient/vc_lowering_pt_masks.rs	e052_If,e079_OperationNode,e080_LoopMaskNode,e081_getParentNode,e082_getFirstChild,e083_getNextSibling,e086_MaskNode,e088_getRoot,e101_OperationNode,e102_getParentNode,e103_getFirstChild,e104_getNextSibling,e107_getRoot,e149_insert
e240_getLayoutExpr	240/384	2	67	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringXRF.cpp:28	6257-6325	src/bridges/dataflow_ir_to_sentient/vc_lowering_xrf.rs	e026_has,e064_size
e241_createForOpWithReturnValue	241/384	2	56	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringXRF.cpp:129	6327-6384	src/bridges/dataflow_ir_to_sentient/vc_lowering_xrf.rs	e150_get
e242_createIfOpWithReturnValue	242/384	2	56	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringXRF.cpp:189	6386-6443	src/bridges/dataflow_ir_to_sentient/vc_lowering_xrf.rs	e150_get
e243_insertDummyMacOp	243/384	2	15	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringXRF.cpp:312	6445-6461	src/bridges/dataflow_ir_to_sentient/vc_lowering_xrf.rs	e150_get
e244_isHoistable	244/384	2	9	dcc/src/Transform/Dataflow/Analysis/CFGSDataflowConditionalTree.cpp:82	6463-6473	src/bridges/dataflow_ir_to_sentient/tf_cfgs_dataflow_conditional_tree.rs	-
e245_enumerateCollectionUnit	245/384	2	57	dcc/src/Transform/Dataflow/EnumerateCollectionUnit.cpp:34	6475-6533	src/bridges/dataflow_ir_to_sentient/tf_enumerate_collection_unit.rs	e149_insert,e150_get
e246_FlatteningLocalRegionsTree	246/384	2	0	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:79	6535-6535	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	-
e247_compute	247/384	2	15	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:151	6537-6553	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	e064_size,e150_get
e248_runOnOperation	248/384	2	68	dcc/src/Transform/Dataflow/LoopUnrollForShuffleOp.cpp:70	6555-6624	src/bridges/dataflow_ir_to_sentient/tf_loop_unroll_for_shuffle_op.rs	e052_If
e249_processComputeUnit	249/384	2	91	dcc/src/Transform/Dataflow/LoopUnrollingForPTLRFRegs.cpp:37	6626-6718	src/bridges/dataflow_ir_to_sentient/tf_loop_unrolling_for_ptlrf_regs.rs	-
e250_initMASData	250/384	2	31	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:707	6720-6752	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	e019_AccessDetailsAffine,e052_If,e064_size
e251_setupForPartitioning	251/384	2	6	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:819	6754-6761	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	-
e252_fillPartitions	252/384	2	117	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:1063	6763-6881	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	e052_If,e064_size,e081_getParentNode,e102_getParentNode,e150_get,e188_calculateSubscriptsCoefficients
e253_adjustForEvenImmutableAddr	253/384	2	47	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:1204	6883-6931	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	e016_AccessDetailsBase,e019_AccessDetailsAffine,e150_get
e254_offsetShifts	254/384	2	22	dcc/src/Transform/Dataflow/MutableStartAddrShifting.cpp:590	6933-6956	src/bridges/dataflow_ir_to_sentient/tf_mutable_start_addr_shifting.rs	e016_AccessDetailsBase,e019_AccessDetailsAffine,e064_size
e255_applyShifts	255/384	2	27	dcc/src/Transform/Dataflow/MutableStartAddrShifting.cpp:616	6958-6986	src/bridges/dataflow_ir_to_sentient/tf_mutable_start_addr_shifting.rs	e019_AccessDetailsAffine,e064_size,e150_get
e256_runOnOperation	256/384	2	76	dcc/src/Transform/Dataflow/ProgramUnitsReduction.cpp:152	6988-7065	src/bridges/dataflow_ir_to_sentient/tf_program_units_reduction.rs	e052_If,e064_size,e149_insert
e257_analyzeAndTransform	257/384	2	3	dcc/src/Transform/Dataflow/TransformLoopToLegalizeForSentientLowering.cpp:441	7067-7071	src/bridges/dataflow_ir_to_sentient/tf_transform_loop_to_legalize_for_sentient_lowering.rs	e194_analyzeLoop
e258_addConstraintsForIVRanges	258/384	2	22	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:86	7073-7096	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	e150_get
e259_createNewSubscriptsFromStartElements	259/384	2	10	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:562	7098-7109	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	e064_size,e150_get
e260_gatherPageDependentDimsForPage	260/384	2	32	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:927	7111-7144	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	e052_If,e149_insert
e261_runOnOperation	261/384	2	41	dcc/src/Transform/Dataflow/UniformQueryMapsCanonicalization.cpp:55	7146-7188	src/bridges/dataflow_ir_to_sentient/tf_uniform_query_maps_canonicalization.rs	e026_has,e149_insert
e262_removeCoresCoreletsFoldsFromUniformizeRegion	262/384	2	98	dcc/src/Transform/Dataflow/UnitFiltering.cpp:139	7190-7289	src/bridges/dataflow_ir_to_sentient/tf_unit_filtering.rs	e064_size,e149_insert,e150_get
e263_removeAncestors	263/384	2	18	dcc/src/Transform/Dataflow/UnitFiltering.cpp:339	7291-7310	src/bridges/dataflow_ir_to_sentient/tf_unit_filtering.rs	-
e264_createForOpWithAdditionalReturnValue	264/384	2	66	dcc/src/Transform/Dataflow/Utils.cpp:28	7312-7380	src/bridges/dataflow_ir_to_sentient/tf_utils.rs	-
e265_constructDetails	265/384	3	18	dcc/src/Conversion/AgenToSentient/AccessDetails.cpp:418	7386-7405	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	e005_setMemoryIndex
e266_coalesceTimeDimensions	266/384	3	112	dcc/src/Conversion/AgenToSentient/AccessDetails.cpp:681	7407-7520	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	e022_setTimeBounds,e026_has,e064_size,e149_insert,e150_get,e209_getFirst
e267_constructTimeLoopsAndVectorOperations	267/384	3	109	dcc/src/Conversion/AgenToSentient/Helper.cpp:1789	7522-7632	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e027_constructLoadAndSendStmt,e028_constructReceiveAndStoreStmt,e064_size,e209_getFirst
e268_constructLoadAndStoreStmt	268/384	3	177	dcc/src/Conversion/AgenToSentient/Helper.cpp:2167	7634-7812	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e026_has,e052_If,e150_get,e209_getFirst
e269_constructLoadAndExtractScalarOp	269/384	3	114	dcc/src/Conversion/AgenToSentient/Helper.cpp:2351	7814-7929	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e019_AccessDetailsAffine,e064_size,e150_get
e270_addStoreInputToDeleteList	270/384	3	8	dcc/src/Conversion/AgenToSentient/Helper.cpp:2987	7931-7940	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e026_has
e271_lowerCompositeMemoryInterleaveOp	271/384	3	37	dcc/src/Conversion/AgenToSentient/Helper.cpp:3775	7942-7980	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e052_If
e272_insertInitializationStmt	272/384	3	13	dcc/src/Conversion/AgenToSentient/Helper.cpp:3834	7982-7996	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	-
e273_lowerL0LXSyncOperationForAUnit	273/384	3	180	dcc/src/Conversion/DataflowToSentient/DataflowToSentient.cpp:189	7998-8179	src/bridges/dataflow_ir_to_sentient/dfs_dataflow_to_sentient.rs	e026_has,e039_isSenComponentL0LU,e040_isSenComponentL0SU,e064_size,e150_get,e159_getUnitNameFromAListOfGetUnitOp,e222_createUniformRegionsWithTwoRegionsNoResult
e274_lowerL0LXSyncOperationForAGroupOfUnits	274/384	3	222	dcc/src/Conversion/DataflowToSentient/DataflowToSentient.cpp:438	8181-8404	src/bridges/dataflow_ir_to_sentient/dfs_dataflow_to_sentient.rs	e026_has,e039_isSenComponentL0LU,e040_isSenComponentL0SU,e064_size,e150_get,e159_getUnitNameFromAListOfGetUnitOp,e221_pushBackTheUnitToListIfDoesnotExist,e222_createUniformRegionsWithTwoRegionsNoResult
e275_LowerSymbolQueryMap	275/384	3	68	dcc/src/Conversion/SymbolToSentient/SymbolToSentient.cpp:40	8406-8475	src/bridges/dataflow_ir_to_sentient/std_symbol_to_sentient.rs	e026_has,e064_size,e150_get
e276_setReuseInformation	276/384	3	44	dcc/src/Conversion/VectorChainLowering/CommonHelpers/OperandReuse.cpp:17	8477-8522	src/bridges/dataflow_ir_to_sentient/vc_operand_reuse.rs	e058_dominates,e064_size,e234_setValue
e277_getGCVTorFCVTTypeFromIndicesAndCastInputs	277/384	3	108	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorChainHelper.cpp:188	8524-8633	src/bridges/dataflow_ir_to_sentient/vc_vector_chain_helper.rs	e064_size,e231_convertTypeToString
e278_getOperandFromShuffleOp	278/384	3	36	dcc/src/Conversion/VectorChainLowering/CommonHelpers/VectorOperands.cpp:311	8635-8672	src/bridges/dataflow_ir_to_sentient/vc_vector_operands.rs	e234_setValue
e279_createSplatOperation	279/384	3	110	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPESFP/Splat.cpp:70	8674-8785	src/bridges/dataflow_ir_to_sentient/vc_splat.rs	e150_get,e229_getMaskValueForNonPT,e235_createSentientConstants
e280_cleanup	280/384	3	7	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPESFP/VectorChainToSentientPESFP.cpp:1056	8787-8795	src/bridges/dataflow_ir_to_sentient/vc_vector_chain_to_sentient_pesfp.rs	-
e281_OperationTreeBase	281/384	3	2	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/Analysis/LoopMaskTree.hpp:105	8797-8800	src/bridges/dataflow_ir_to_sentient/vc_loop_mask_tree.rs	-
e282_updateLoopMaskTreeForConstantMask	282/384	3	4	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringPTMasks.cpp:20	8802-8807	src/bridges/dataflow_ir_to_sentient/vc_lowering_pt_masks.rs	-
e283_updateLoopMaskTreeForDynamicMask	283/384	3	9	dcc/src/Conversion/VectorChainLowering/VectorChainToSentientPT/LoweringPTMasks.cpp:28	8809-8819	src/bridges/dataflow_ir_to_sentient/vc_lowering_pt_masks.rs	-
e284_hoistCommonConditionals	284/384	3	96	dcc/src/Transform/Dataflow/Analysis/CFGSDataflowConditionalTree.cpp:94	8821-8918	src/bridges/dataflow_ir_to_sentient/tf_cfgs_dataflow_conditional_tree.rs	e026_has,e052_If,e079_OperationNode,e082_getFirstChild,e083_getNextSibling,e088_getRoot,e101_OperationNode,e103_getFirstChild,e104_getNextSibling,e107_getRoot,e149_insert
e285_replaceIfOpByIterArg	285/384	3	56	dcc/src/Transform/Dataflow/Analysis/CFGSDataflowConditionalTree.cpp:619	8920-8977	src/bridges/dataflow_ir_to_sentient/tf_cfgs_dataflow_conditional_tree.rs	e026_has,e052_If,e150_get,e264_createForOpWithAdditionalReturnValue
e286_runOnOperation	286/384	3	32	dcc/src/Transform/Dataflow/EnumerateCollectionUnit.cpp:94	8979-9012	src/bridges/dataflow_ir_to_sentient/tf_enumerate_collection_unit.rs	e150_get
e287_flatten	287/384	3	70	dcc/src/Transform/Dataflow/FlatteningLocalRegions.cpp:384	9014-9085	src/bridges/dataflow_ir_to_sentient/tf_flattening_local_regions.rs	e064_size,e082_getFirstChild,e088_getRoot,e103_getFirstChild,e107_getRoot,e150_get
e288_runOnOperation	288/384	3	22	dcc/src/Transform/Dataflow/LoopUnrollingForPTLRFRegs.cpp:131	9087-9110	src/bridges/dataflow_ir_to_sentient/tf_loop_unrolling_for_ptlrf_regs.rs	e064_size
e289_initialize	289/384	3	8	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:694	9112-9121	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	e019_AccessDetailsAffine
e290_createPartitions	290/384	3	10	dcc/src/Transform/Dataflow/MutableAddrSplitting.cpp:983	9123-9134	src/bridges/dataflow_ir_to_sentient/tf_mutable_addr_splitting.rs	-
e291_calculatePartialShift	291/384	3	66	dcc/src/Transform/Dataflow/MutableStartAddrShifting.cpp:490	9136-9203	src/bridges/dataflow_ir_to_sentient/tf_mutable_start_addr_shifting.rs	e019_AccessDetailsAffine,e052_If,e064_size
e292_transformSCFLoopWithNonConstantUpperBound	292/384	3	94	dcc/src/Transform/Dataflow/TransformLoopToLegalizeForSentientLowering.cpp:169	9205-9300	src/bridges/dataflow_ir_to_sentient/tf_transform_loop_to_legalize_for_sentient_lowering.rs	e026_has,e117_transformSCFToAffineLoop
e293_runOn	293/384	3	5	dcc/src/Transform/Dataflow/TransformLoopToLegalizeForSentientLowering.cpp:447	9302-9308	src/bridges/dataflow_ir_to_sentient/tf_transform_loop_to_legalize_for_sentient_lowering.rs	-
e294_getPageValidity	294/384	3	33	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:114	9310-9344	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	-
e295_createIterArgsForConditionals	295/384	3	121	dcc/src/Transform/Dataflow/TransformPagedMemView/TransformPagedMemViewImpl.cpp:401	9346-9468	src/bridges/dataflow_ir_to_sentient/tf_transform_paged_mem_view_impl.rs	e052_If,e064_size,e150_get,e264_createForOpWithAdditionalReturnValue
e296_runOnOperation	296/384	3	127	dcc/src/Transform/Dataflow/UnitFiltering.cpp:362	9470-9599	src/bridges/dataflow_ir_to_sentient/tf_unit_filtering.rs	e141_isDataTransfer,e149_insert
